"End","Sleep.quality","Time.in.bed","Heart.rate","Steps"
"2016-10-19 07:49:02","89%","8:48",58,9807
"2016-10-20 07:52:46","76%","8:23",63,11158
"2016-10-21 08:13:27","81%","8:18",58,6815
"2016-10-22 07:58:33","89%","9:01",57,8797
"2016-10-23 07:41:23","83%","8:41",59,4847
"2016-10-24 07:51:45","60%","8:38",54,14344
"2016-10-25 07:19:03","99%","8:18",72,7787
"2016-10-26 07:28:17","92%","8:29",52,6443
"2016-10-27 07:20:42","74%","8:06",59,11953
"2016-10-28 07:40:03","100%","8:43",76,5719
"2016-10-29 07:28:31","92%","8:24",59,7099
"2016-10-30 07:24:27","100%","8:25",59,15026
"2016-10-31 07:22:25","95%","8:07",65,21420
"2016-11-01 07:11:31","91%","7:40",60,16895
"2016-11-02 07:26:47","100%","8:51",62,8409
"2016-11-03 07:29:27","95%","8:10",65,9566
"2016-11-04 07:27:14","90%","8:19",52,17683
"2016-11-06 08:28:13","100%","10:15",77,8602
"2016-11-07 07:27:40","100%","8:33",61,18545
"2016-11-08 07:28:16","99%","8:18",64,14187
"2016-11-09 08:22:26","78%","6:43",64,5415
"2016-11-10 08:13:05","88%","7:15",58,9142
"2016-11-11 07:57:58","100%","8:36",54,8684
"2016-11-12 07:26:01","73%","7:29",71,10414
"2016-11-13 07:58:17","93%","9:42",64,13014
"2016-11-14 08:28:15","95%","8:22",71,9103
"2016-11-15 07:28:27","99%","8:35",59,15353
"2016-11-16 07:10:44","93%","8:13",57,9778
"2016-11-17 07:43:16","90%","8:13",71,5140
"2016-11-18 07:28:18","100%","8:33",61,15149
"2016-11-19 05:46:20","57%","6:18",63,14364
"2016-11-20 07:35:09","90%","8:17",58,13288
"2016-11-21 07:23:00","96%","8:21",56,3324
"2016-11-22 06:44:18","88%","7:08",54,8781
"2016-11-29 07:41:01","85%","8:26",64,7584
"2016-11-30 07:50:26","88%","8:00",62,8847
"2016-12-01 07:22:51","89%","8:04",58,12754
"2016-12-02 06:32:32","86%","7:58",66,12226
"2016-12-03 06:22:32","85%","8:13",55,4861
"2016-12-04 06:58:23","75%","8:36",68,5801
"2016-12-05 07:05:37","90%","12:22",79,8375
"2016-12-06 07:27:14","95%","10:11",65,3054
"2016-12-07 06:51:27","95%","10:00",63,2882
"2016-12-08 06:22:05","84%","8:15",62,9789
"2016-12-09 06:43:24","81%","7:19",66,6902
"2016-12-10 06:31:07","90%","8:20",64,4056
"2016-12-11 06:33:38","90%","8:30",74,3178
"2016-12-12 06:43:38","79%","7:35",65,2912
"2016-12-13 06:37:33","78%","8:40",56,9498
"2016-12-14 06:00:28","46%","7:16",66,3652
"2016-12-15 07:16:43","97%","8:50",57,4763
"2016-12-16 07:58:13","69%","6:14",66,5667
"2016-12-17 08:00:22","91%","8:22",59,508
"2016-12-18 07:28:15","83%","7:47",58,3222
"2016-12-19 07:48:14","97%","8:07",74,4390
"2016-12-25 10:22:44","85%","8:20",64,5435
"2016-12-26 10:28:34","89%","8:24",74,869
"2016-12-27 09:09:55","86%","8:12",75,3420
"2016-12-28 09:26:14","80%","7:09",81,2704
"2016-12-29 09:30:36","89%","8:18",68,1362
"2016-12-30 09:08:23","89%","8:30",66,1137
"2016-12-31 10:28:08","91%","8:28",68,2041
"2017-01-01 11:13:10","92%","8:26",69,4218
"2017-01-02 10:13:32","87%","8:27",71,4755
"2017-01-03 10:01:23","93%","8:43",76,3397
"2017-01-04 10:22:53","90%","8:24",64,3298
"2017-01-05 07:54:08","64%","5:44",61,1102
"2017-01-19 08:28:19","94%","9:21",64,12966
"2017-01-20 08:28:28","92%","9:06",64,2892
"2017-01-21 07:33:49","80%","8:32",57,2060
"2017-01-22 07:58:16","91%","8:53",61,6421
"2017-01-23 08:28:56","88%","8:42",64,10337
"2017-01-24 07:36:39","80%","7:56",66,3177
"2017-01-25 07:28:33","83%","8:08",54,7150
"2017-01-26 07:20:44","71%","6:59",61,13427
"2017-01-27 07:58:16","83%","8:25",61,8088
"2017-01-28 07:49:47","82%","7:56",70,6541
"2017-01-29 07:48:59","83%","7:52",58,2942
"2017-01-30 07:18:13","81%","8:06",61,3010
"2017-01-31 07:37:06","84%","8:24",62,3466
"2017-02-01 07:14:44","88%","8:14",50,6792
"2017-02-02 07:28:17","86%","8:17",73,6694
"2017-02-03 07:52:20","81%","8:16",62,8651
"2017-02-04 07:22:03","83%","8:23",59,4468
"2017-02-05 07:26:52","84%","8:17",63,3263
"2017-02-06 07:19:35","56%","7:22",66,5685
"2017-02-07 07:28:22","90%","8:27",64,6422
"2017-02-08 07:58:19","81%","8:14",57,14901
"2017-02-09 07:28:19","69%","7:04",60,9066
"2017-02-13 06:13:27","89%","8:28",57,3766
"2017-02-14 06:05:17","83%","8:22",59,3954
"2017-02-15 07:08:49","72%","6:56",58,8523
"2017-02-16 06:58:31","81%","8:04",77,7839
"2017-02-17 06:49:16","73%","7:01",68,6315
"2017-02-18 07:15:26","77%","7:21",53,8486
"2017-02-19 07:49:55","71%","7:14",61,8491
"2017-02-20 11:28:16","69%","6:37",72,12774
"2017-02-21 07:46:36","86%","8:09",57,16615
"2017-02-22 06:44:44","52%","8:35",49,7507
"2017-02-23 07:09:22","38%","3:23",60,8004
"2017-02-24 06:58:29","93%","9:06",62,12394
"2017-02-25 06:39:31","87%","8:43",55,9691
"2017-02-26 06:27:12","50%","8:21",58,7527
"2017-02-27 06:19:51","76%","7:26",66,5750
"2017-02-28 06:11:35","88%","8:11",51,7800
"2017-03-01 06:11:34","85%","8:23",52,16034
"2017-03-02 06:12:36","85%","8:09",55,6210
"2017-03-03 06:13:19","87%","8:26",56,8268
"2017-03-04 06:58:22","77%","7:28",62,5770
"2017-03-05 05:58:12","88%","8:20",58,2883
"2017-03-06 06:58:27","85%","8:17",53,8162
"2017-03-07 05:58:17","81%","8:22",57,7052
"2017-03-08 05:58:18","86%","8:25",65,11612
"2017-03-09 05:58:20","88%","8:31",67,15765
"2017-03-10 05:44:17","75%","6:58",61,15896
"2017-03-12 09:23:22","94%","9:13",66,1635
"2017-03-14 07:56:17","96%","9:20",64,1171
"2017-03-15 07:00:06","88%","7:32",63,523
"2017-03-16 08:08:26","87%","8:40",60,4776
